week_no,item_code,holiday_flag,holiday_score,grow_score
201920,1001,2,0,0
201920,1005,2,0,14
201920,1101,2,0,0
201920,1201,2,0,49
201920,1207,2,0,49
201920,1209,2,0,0
201921,501,2,0,20
201921,601,2,0,48
201921,602,2,0,48
201921,1001,2,0,0
201921,1005,2,0,20
201921,1101,2,0,0
201921,1201,2,0,7
201921,1207,2,0,49
201921,1209,2,0,0
201922,501,2,0,23
201922,601,2,0,49
201922,602,2,0,49
201922,1001,2,0,0
201922,1005,2,0,21
201922,1101,2,0,4
201922,1201,2,0,0
201922,1207,2,0,49
201922,1209,2,0,0
201923,501,3,0,28
201923,601,3,0,49
201923,602,3,0,49
201923,1001,3,0,0
201923,1005,3,0,21
201923,1101,3,0,14
201923,1201,3,0,0
201923,1207,3,0,49
201923,1209,3,0,0
201924,501,2,0,4
201924,601,2,0,55
201924,602,2,0,55
201924,1001,2,0,0
201924,1005,2,0,21
201924,1101,2,0,14
201924,1201,2,0,0
201924,1207,2,0,49
201924,1209,2,0,0
201925,501,2,0,0
201925,601,2,0,56
201925,602,2,0,56
201925,1001,2,0,3
201925,1005,2,0,18
201925,1101,2,0,17
201925,1201,2,0,0
201925,1207,2,0,49
201925,1209,2,0,0
201926,501,2,0,0
201926,601,2,0,56
201926,602,2,0,56
201926,1001,2,0,7
201926,1005,2,0,14
201926,1101,2,0,21
201926,1201,2,0,0
201926,1207,2,0,49
201926,1209,2,0,0
201927,501,2,0,0
201927,601,2,0,56
201927,602,2,0,56
201927,1001,2,0,7
201927,1005,2,0,14
201927,1101,2,0,21
201927,1201,2,0,0
201927,1207,2,0,49
201927,1209,2,0,0
201928,501,2,0,0
201928,601,2,0,56
201928,602,2,0,56
201928,1001,2,0,11
201928,1005,2,0,14
201928,1101,2,0,25
201928,1201,2,0,0
201928,1207,2,0,49
201928,1209,2,0,0
201929,501,2,0,0
201929,601,2,0,56
201929,602,2,0,56
201929,1001,2,0,14
201929,1005,2,0,15
201929,1101,2,0,28
201929,1201,2,0,0
201929,1207,2,0,49
201929,1209,2,0,0
201930,501,2,0,0
201930,601,2,0,56
201930,602,2,0,56
201930,1001,2,0,14
201930,1005,2,0,21
201930,1101,2,0,28
201930,1201,2,0,0
201930,1207,2,0,49
201930,1209,2,0,0
201931,501,2,0,0
201931,601,2,0,60
201931,602,2,0,60
201931,1001,2,0,18
201931,1005,2,0,21
201931,1101,2,0,32
201931,1201,2,0,0
201931,1207,2,0,21
201931,1209,2,0,0
201932,501,2,0,0
201932,601,2,0,63
201932,602,2,0,63
201932,1001,2,0,21
201932,1005,2,0,21
201932,1101,2,0,36
201932,1201,2,0,0
201932,1207,2,0,0
201932,1209,2,0,0
201933,501,3,0,0
201933,601,3,0,63
201933,602,3,0,63
201933,1001,3,0,21
201933,1005,3,0,21
201933,1101,3,0,42
201933,1201,3,0,0
201933,1207,3,0,0
201933,1209,3,0,0
201934,501,2,0,5
201934,601,2,0,63
