연월일,품종코드,등급코드,총거래량(kg),주간평균단가(원),직팜산지코드,일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,총금액(원)
2018-01-02,06,11,65.0,4874.01804810742,1034,-99.0,-99.0,-99.0,-9.0,0.0,0.0,1,0.0,0.0,419000.0
2018-01-02,06,12,200.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,1156000.0
2018-01-02,06,12,140.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,882000.0
2018-01-02,06,11,500.0,4874.01804810742,1036,-0.7,2.9,-4.2,61.9,0.0,0.0,1,0.0,0.0,3200000.0
2018-01-02,06,11,500.0,4874.01804810742,1036,-0.7,2.9,-4.2,61.9,0.0,0.0,1,0.0,0.0,3200000.0
2018-01-02,99,12,10.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,58030.0
2018-01-02,17,13,232.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,606625.0
2018-01-02,06,12,490.0,4874.01804810742,1047,-1.4,0.8,-4.3,46.3,0.0,0.0,1,0.0,0.0,2835000.0
2018-01-02,06,11,15.0,4874.01804810742,1047,-1.4,0.8,-4.3,46.3,0.0,0.0,1,0.0,0.0,100000.0
2018-01-02,05,13,20.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,58020.0
2018-01-02,06,12,220.0,4874.01804810742,1047,-1.4,0.8,-4.3,46.3,0.0,0.0,1,0.0,0.0,1320000.0
2018-01-03,06,12,50.0,4874.01804810742,1102,-1.7,1.6,-4.1,57.9,0.0,0.0,1,0.0,0.0,278000.0
2018-01-03,06,12,4.0,4874.01804810742,1102,-1.7,1.6,-4.1,57.9,0.0,0.0,1,0.0,0.0,14000.0
2018-01-03,06,12,340.0,4874.01804810742,1102,-1.7,1.6,-4.1,57.9,0.0,0.0,1,0.0,0.0,2040000.0
2018-01-03,06,12,30.0,4874.01804810742,1102,-1.7,1.6,-4.1,57.9,0.0,0.0,1,0.0,0.0,150000.0
2018-01-03,06,11,137.0,4874.01804810742,1034,-99.0,-0.2,-99.0,-9.0,0.0,0.0,1,0.0,0.0,889000.0
2018-01-03,00,11,65.0,4874.01804810742,1000,-4.7,-0.4,-7.1,42.3,0.0,0.0,1,0.0,0.0,415350.0
2018-01-03,06,12,140.0,4874.01804810742,1000,-4.7,-0.4,-7.1,42.3,0.0,0.0,1,0.0,0.0,796000.0
2018-01-03,05,13,40.0,4874.01804810742,1000,-4.7,-0.4,-7.1,42.3,0.0,0.0,1,0.0,0.0,116060.0
2018-01-03,05,13,60.0,4874.01804810742,1000,-4.7,-0.4,-7.1,42.3,0.0,0.0,1,0.0,0.0,180390.0
2018-01-03,05,13,25.0,4874.01804810742,1103,-1.7,1.6,-4.1,57.9,0.0,0.0,1,0.0,0.0,75000.0
