weekno,품종코드,등급코드,직팜산지코드,총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,year,week,week_start,평균단가(원)
2018_01,6,12,1044,5580.0,-3.9,2.0,-7.6,61.6,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,5949.0
2018_01,6,12,1047,3310.0,-3.813636363636364,0.8,-9.1,50.32727272727273,0.0,0.0,22,0.0,0.0,2018,01,2018-01-01,5415.0
2018_01,6,12,1050,1760.0,-4.483333333333333,-0.2,-9.1,51.833333333333336,0.0,0.0,6,0.0,0.0,2018,01,2018-01-01,5686.0
2018_01,6,12,1051,70.0,-4.9,-1.0,-9.1,52.1,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,4714.0
2018_01,6,12,1055,3840.0,-4.24,-0.2,-9.1,52.98,0.0,0.0,10,0.0,0.0,2018,01,2018-01-01,4229.0
2018_01,6,12,1070,6603.0,-4.214285714285714,1.6,-8.7,44.24285714285714,0.0,0.0,7,0.0,0.0,2018,01,2018-01-01,5453.0
2018_01,6,12,1079,810.0,0.2666666666666666,8.4,-7.0,54.833333333333336,0.0,0.0,6,0.0,0.0,2018,01,2018-01-01,4471.0
2018_01,6,12,1087,3780.0,0.3,4.8,-5.6,50.15,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,5086.0
2018_01,6,12,1093,9920.0,0.4837837837837837,7.7,-4.4,75.02702702702703,0.0,0.0,37,0.0,0.0,2018,01,2018-01-01,5390.0
2018_01,6,12,1094,4740.0,0.24,4.2,-1.9,58.82000000000001,0.0,0.0,10,0.0,0.0,2018,01,2018-01-01,5050.0
2018_01,6,12,1098,500.0,1.5,9.0,-3.6,25.6,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,4442.0
2018_01,6,12,1100,1200.0,1.075,5.2,-1.7,52.5,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,5604.0
2018_01,6,12,1102,1972.0,-0.676923076923077,6.7,-4.3,64.68461538461538,0.0,0.0,13,0.0,0.0,2018,01,2018-01-01,5689.0
2018_01,6,12,1107,3918.0,-0.8055555555555556,6.7,-8.7,64.52777777777777,0.0,0.0,18,0.0,0.0,2018,01,2018-01-01,5587.0
2018_01,6,12,1108,490.0,-3.1,2.9,-9.5,61.3,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,4071.0
2018_01,6,12,1109,10.0,0.8,6.3,-3.9,70.4,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,5000.0
2018_01,6,12,1112,300.0,-2.6,-0.7,-4.3,65.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,5787.0
2018_01,6,12,1120,5.0,1.8,5.6,-1.3,27.0,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,3800.0
